"(1329653148, 6)","[[0, 0, 808753390, 808753397, 841900401], nan, 1329653148, 6, [nan, 5782512.0, 5782512.0, nan, 6567448.0], [0, 1, 2, 0, 1], 'S4EHi0rIE1i9jKyEut+LGKtDNKwlgxED8L1EZUEY/68=', 3, 10, 0.0625, 0.003109, 7.629e-06, 0.0, 0]"
"(1863690462, 1)","[[0, 0, 779239472, 779239480, 780895811, 3657079244, 3657079252, 3658354430], nan, 1863690462, 1, [nan, 216841516.0, 216841516.0, nan, 351604751.0, 351604751.0, nan, 3631250831.0], [0, 1, 2, 0, 1, 2, 0, 1], 'anXVp+pkoUreEzVWqa54MI9QjAlQaH2dHd5bNJpNQ8k=', 3, 0, 0.03125, 0.006218, 0.0001545, 0.0, 0]"
"(3668158425, 37)","[[0, 0, 1672712356, 1672712364, 1697983586], nan, 3668158425, 37, [4144523980.0, 4144523980.0, 4144523980.0, nan, 332422675.0], [0, 1, 2, 0, 1], 'GYoikCKU1DVY7RyUBeKnNR0/c1u8HaAWVqYNLD1EzrQ=', 2, 1, 0.0625, 0.0029530000000000003, 1.907e-05, 0.0, 0]"
"(3668158425, 137)","[[0, 0, 5576460849, 5576460856, 5578077762], nan, 3668158425, 137, [nan, 38738418.0, 38738418.0, nan, 294862576.0], [0, 1, 2, 0, 1], 'GYoikCKU1DVY7RyUBeKnNR0/c1u8HaAWVqYNLD1EzrQ=', 2, 1, 0.0625, 0.0029530000000000003, 1.907e-05, 0.0, 0]"
"(3730198063, 0)","[[0, 0, 2460156458, 2460156465, 2462756587], nan, 3730198063, 0, [nan, 798454510.0, 798454510.0, nan, 798454510.0], [0, 1, 2, 0, 1], 'lVfKNKvMXQvamML8gbdCZmgOOP7MLBRdTK/auEJWd+g=', 0, 0, 0.0125, 0.0054399999999999995, 7.629e-06, 0.0, 0]"
"(3847241534, 0)","[[0, 0, 2463620191, 2463620198, 2467334085], nan, 3847241534, 0, [1331759.0, 1331759.0, 1331759.0, nan, 1436464174.0], [0, 1, 2, 0, 1], 'q6EjQj6yxdwUvvufuDKvfotZ1LoylbpNu4NguS48Lfo=', 2, 0, 0.0125, 0.0159, 3.815e-05, 0.0, 0]"
"(3936670257, 300)","[[0, 0, 1294124590, 1294124597, 1295622182], nan, 3936670257, 300, [4820241539.0, 4820241539.0, 4820241539.0, nan, 372629250.0], [0, 1, 2, 0, 1], 'GYoikCKU1DVY7RyUBeKnNR0/c1u8HaAWVqYNLD1EzrQ=', 3, 1, 0.01874, 0.01865, 4.482e-05, 0.0, 0]"
"(4031118633, 0)","[[0, 0, 1230139299, 1230139306, 1231491720], nan, 4031118633, 0, [5573153.0, 5573153.0, 5573153.0, nan, 8055698.0], [0, 1, 2, 0, 1], 'mbrS6V2tRbksMPO0y8EI9B9XT2ASaPRTNndslCGN/2A=', 2, 0, 0.006248, 0.0023309999999999997, 3.815e-06, 0.0, 0]"
"(4665617026, 577)","[[0, 0, 4694726833, 4694726840, 4721970568], nan, 4665617026, 577, [705636.0, 705636.0, 705636.0, nan, 4820309577.0], [0, 1, 2, 0, 1], '8qRmTJas/6XEBaA0l4Wt1+/qSLgc6p7u7JzoMSuT/M8=', 2, 9, 0.08435, 0.07642, 0.0003862, 1.0, 0]"
"(4665617026, 650)","[[0, 0, 4196691655, 4196691662, 4227498966], nan, 4665617026, 650, [317808289.0, 317808289.0, 317808289.0, nan, 450512000.0], [0, 1, 2, 0, 1], '8qRmTJas/6XEBaA0l4Wt1+/qSLgc6p7u7JzoMSuT/M8=', 2, 9, 0.08435, 0.07642, 0.0003862, 1.0, 0]"
