"(6250245734, 3586)","[2, 0, 1]"
"(6250245734, 3781)","[2, 0, 1]"
"(6221861800, 8999)","[2, 0, 1]"
"(6221861800, 9009)","[2, 0, 1]"
"(6219557576, 7)","[2, 0, 1]"
"(6218406404, 432)","[2, 0, 1]"
"(6218406404, 424)","[2, 0, 1]"
"(6218406404, 240)","[2, 0, 1]"
"(6218406404, 1065)","[2, 0, 1]"
"(6218406404, 69)","[2, 0, 1]"
"(6218406404, 414)","[2, 0, 1]"
"(6221861800, 8074)","[2, 0, 1]"
"(6221861800, 7390)","[2, 0, 1]"
"(6250422572, 0)","[2, 0, 1]"
"(6221861800, 11726)","[2, 0, 1]"
"(6221861800, 16019)","[2, 0, 1]"
"(6221861800, 7813)","[2, 0, 1]"
"(6221861800, 2413)","[2, 0, 1]"
"(6249153835, 24)","[2, 0, 1]"
"(6251414911, 1419)","[2, 0, 1]"
"(6221861800, 13334)","[2, 0, 1]"
"(6221861800, 5623)","[2, 0, 1]"
"(1863690462, 1)","[2, 0, 1]"
"(6221861800, 8965)","[2, 0, 1]"
"(6221861800, 4861)","[2, 0, 1]"
"(6221861800, 14201)","[2, 0, 1]"
"(6221861800, 961)","[2, 0, 1]"
"(6221861800, 17477)","[2, 0, 1]"
"(6186804118, 14)","[2, 0, 1]"
"(6238109182, 0)","[2, 0, 1]"
"(5948517920, 10)","[2, 0, 1]"
"(6124897874, 19)","[2, 0, 1]"
"(5546501684, 208)","[2, 0, 1]"
"(1329653148, 6)","[2, 0, 1]"
"(6221861800, 7780)","[2, 0, 1]"
"(6221861800, 18721)","[2, 0, 1]"
"(5921809619, 411)","[2, 0, 1]"
"(5741669121, 14)","[2, 0, 1]"
"(6221861800, 17824)","[2, 0, 1]"
"(6217657595, 29)","[2, 0, 1]"
"(6217659576, 10)","[2, 0, 1]"
"(6218406404, 11)","[2, 0, 1]"
"(6218406404, 614)","[2, 0, 1]"
"(6221861800, 18650)","[2, 0, 1]"
"(6218406404, 10)","[2, 0, 1]"
"(4665891113, 410)","[2, 0, 1]"
"(6221861800, 481)","[2, 0, 1]"
"(6221861800, 4595)","[2, 0, 1]"
"(6218406404, 1194)","[2, 0]"
"(6218406404, 139)","[2, 0, 1]"
"(5715747784, 9)","[2, 0, 1]"
"(6218406404, 1496)","[2, 0]"
"(6235196851, 48)","[2, 0, 1]"
"(6221861800, 18595)","[2, 0, 1]"
"(6221861800, 342)","[2, 0, 1]"
"(6221861800, 655)","[2, 0, 1]"
"(6221861800, 10759)","[2, 0, 1]"
"(6251277720, 446)","[2, 0, 1]"
"(6221861800, 18598)","[2, 0, 1]"
"(6221861800, 10955)","[2, 0, 1]"
"(6221861800, 15615)","[2, 0, 1]"
"(5402488769, 3770)","[2, 0, 1]"
"(6221861800, 5018)","[2, 0, 1]"
"(6221861800, 12456)","[2, 0, 1]"
"(6221861800, 4957)","[2, 0, 1]"
"(5402488769, 1462)","[2, 0, 1]"
"(6249834537, 9)","[2, 0, 1]"
"(5484770275, 16)","[2, 0, 1]"
"(6219557576, 40)","[2, 0, 1]"
"(6221861800, 17002)","[2, 0, 1]"
"(6221861800, 18571)","[2, 0, 1]"
"(6221861800, 8734)","[2, 0, 1]"
"(6221861800, 15769)","[2, 0, 1]"
"(6221861800, 14591)","[2, 0, 1]"
"(6221861800, 18733)","[2, 0, 1]"
"(6221861800, 15765)","[2, 0, 1]"
"(6221861800, 19902)","[2, 0, 1]"
"(6250245734, 3542)","[2, 0, 1]"
"(6251480902, 0)","[2, 0, 1]"
"(6218406404, 279)","[2, 0, 1]"
"(6218406404, 473)","[2, 0, 1]"
"(6221861800, 5535)","[2, 0, 1]"
"(6221861800, 12236)","[2, 0, 1]"
"(6221861800, 6931)","[2, 0, 1]"
"(6221861800, 17980)","[2, 0, 1]"
"(6221861800, 19325)","[2, 0, 1]"
"(6221861800, 1204)","[2, 0, 1]"
"(6221861800, 16380)","[2, 0, 1]"
"(6235196851, 73)","[2, 0, 1]"
"(6221861800, 12062)","[2, 0, 1]"
"(6183750753, 87)","[2, 0, 1]"
"(6238340468, 611)","[2, 0, 1]"
"(6183750753, 20)","[2, 0, 1]"
"(6221861800, 433)","[2, 0, 1]"
"(5402488769, 2256)","[2, 0, 1]"
"(6221861800, 11362)","[2, 0, 1]"
"(6238340468, 24)","[2, 0, 1]"
"(6221861800, 11133)","[2, 0, 1]"
"(6238340468, 181)","[2, 0, 1]"
"(6218406404, 718)","[2, 0, 1]"
"(6221861800, 9382)","[2, 0, 1]"
"(6218406404, 1352)","[2, 0, 1]"
"(6221861800, 7729)","[2, 0, 1]"
"(6251414911, 926)","[2, 0, 1]"
"(6251414911, 1474)","[2, 0, 1]"
"(6221861800, 19624)","[2, 0, 1]"
"(6218406404, 702)","[2, 0, 1]"
"(6221861800, 8943)","[2, 0, 1]"
"(5464330466, 6)","[2, 0, 1]"
"(6221861800, 10378)","[2, 0, 1]"
"(6221861800, 10372)","[2, 0, 1]"
"(6218406404, 492)","[2, 0, 1]"
"(6218406404, 507)","[2, 0, 1]"
"(6218406404, 511)","[2, 0, 1]"
"(6218406404, 512)","[2, 0, 1]"
"(6218406404, 515)","[2, 0, 1]"
"(5966089485, 209)","[2, 0, 1]"
"(4031118633, 0)","[2, 0, 1]"
"(6251100019, 26)","[2, 0, 1]"
"(6249834537, 273)","[2, 0, 1]"
"(6221861800, 3025)","[2, 0, 1]"
"(6218406404, 345)","[2, 0, 1]"
"(6218406404, 402)","[2, 0, 1]"
"(6218406404, 413)","[2, 0, 1]"
"(6218406404, 6)","[2, 0, 1]"
"(6218406404, 272)","[2, 0, 1]"
"(6238340468, 2557)","[2, 0, 1]"
"(6238340468, 701)","[2, 0, 1]"
"(6238340468, 752)","[2, 0, 1]"
"(6221861800, 9723)","[2, 0, 1]"
"(6238340468, 1084)","[2, 0, 1]"
"(6238340468, 2083)","[2, 0, 1]"
"(6114773114, 1850)","[2, 0, 1]"
"(6221861800, 1365)","[2, 0, 1]"
"(6218406404, 32)","[2, 0, 1]"
"(6218406404, 292)","[2, 0, 1]"
"(6221861800, 7720)","[2, 0, 1]"
"(6218406404, 1406)","[2, 0]"
"(6218406404, 687)","[2, 0, 1]"
"(5715747784, 17)","[2, 0, 1]"
"(6221861800, 694)","[2, 0, 1]"
"(6218406404, 853)","[2, 0, 1]"
"(6218406404, 192)","[2, 0, 1]"
"(6114773114, 124)","[2, 0, 1]"
"(6218406404, 232)","[2, 0, 1]"
"(6249832520, 94)","[2, 0, 1]"
"(6218406404, 112)","[2, 0, 1]"
"(6238340468, 948)","[2, 0, 1]"
"(6221861800, 14659)","[2, 0, 1]"
"(6218406404, 890)","[2, 0, 1]"
"(6218406404, 1060)","[2, 0, 1]"
"(6218406404, 1062)","[2, 0, 1]"
"(6221861800, 2494)","[2, 0, 1]"
